type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang
ZONASI,ZONA 1,ZONASI PONDOK GEDE - HALIM- CONDET - RANCHO,129,18.537
ZONASI,ZONA 2,ZONASI KP.MELAYU - RAWAMANGUN,105,13.923
ZONASI,ZONA 3,ZONASI TERMINAL KALIDERES - KAMAL,62,6.901
ZONASI,ZONA 4, ZONASI KALIDERES -SEMANAN-DURIKOSAMBI,113,15.426
ZONASI,ZONA 5,ZONASI PULO GADUNG-MARDANI-PASEBAN,85,12.478
ZONASI,ZONA 6,ZONASI CAWANG - PEJATEN - RAGUNAN,65,5.828
ZONASI,ZONA 7,ZONASI RAWAMANGUN - CIKINI - LP.BANTENG,81,10.597
ZONASI,ZONA 8,ZONASI LUBANG BUAYA - DUKU.5 - KP.RAMBUTAN - RANCO,48,4.38
ZONASI,ZONA 9,ZONASI MARUNDA - ROROTAN,58,9.302
ZONASI,ZONA 10,ZONASI MARUNDA - CILINCING,64,8.889
ZONASI,ZONA 11,ZONASI - RUSUN KAPUK - CIDENG,44,4.96
ZONASI,ZONASI 12,ZONASI CAKUNG TIMUR - ROROTAN,83,7.738
REGULER,RUTE 1,LAP.BANTENG - GALUR -P.KEMERDEKAAN,131,22.99
REGULER,RUTE 2,PLUMPANG - SUNTER - KEMAYORAN,105,16.15
REGULER,RUTE 3,GANDARIA - H E K - TMII,109,25.577
REGULER,RUTE 4,PERINTIS KEMERDEKAAN - PULO GADUNG- PONDOK KOPI,68,14.332
REGULER,RUTE 4A,PULO GADUNG - PONDOK KOPI,99,21.138
REGULER,RUTE 5,KAMPUNG MELAYU - TMII - CEGER,152,30.172
REGULER,RUTE 6,PS.MINGGU - BUNCIT - KEBAYORAN PTIK,84,14.822
REGULER,RUTE 7,PASAR MINGGU - RANCO - LT.AGUNG - UI,144,37.712
REGULER,RUTE 8,PS. MINGGU - PANCORAN - MANGGARAI,94,14.498
REGULER,RUTE 9,CILINCING - PLUMPANG -P.KEMERDEKAAN,61,9.845
REGULER,RUTE 10,KAMPUNG MELAYU - LAPANGAN BANTENG,88,14.94
REGULER,RUTE 11,BLOK.M - CILEDUK,84,15.567
REGULER,RUTE 12,TERMINAL KALIDERES - GAJAH MADA,113,28.005
REGULER,RUTE 13,PULO GADUNG -  PONDOK BAMBU -CAWANG,86,16.409
REGULER,RUTE 14,BLOK. M - PONDOK LABU,88,13.137
REGULER,RUTE 15,TEBET - PONDOK KOPI,65,11.159
REGULER,RUTE 16,RUSUN MUARA BARU - GROGOL,61,12.56
REGULER,RUTE 17,MUARA BARU- MUARA ANGKE,63,13.857
