type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang
REGULER,RUTE 1,RUTE 1 (LAP.BANTENG - GALUR - P.KEMERDEKAAN),102,18068
REGULER,RUTE 2,RUTE 2 (PLUMPANG - SUNTER - KEMAYORAN),78,11791
REGULER,RUTE 3,RUTE 3 (GANDARIA - H E K - TMII),96,12989
REGULER,RUTE 4A,RUTE 4A (P.KEMERDEKAAN - PULOGADUNG - BOR - PD.KOPI),77,13635
REGULER,RUTE 4B,RUTE 4B (P.KEMERDEKAAN - PULOGADUNG - PULOGEBANG - PD.KOPI),67,11556
REGULER,RUTE 5,RUTE 5 (KP.MELAYU - TMII - CEGER),130,20549
REGULER,RUTE 6,RUTE 6 (PS.MINGGU - BUNCIT - KEBAYORAN PTIK),98,11337
REGULER,RUTE 7,RUTE 7 (PS.MINGGU - RANCO - LT.AGUNG - UI),130,27026
REGULER,RUTE 8,RUTE 8 (PS.MINGGU - PANCORAN - MANGGARAI),95,12923
REGULER,RUTE 9,RUTE 9 (CILINCING - PLUMPANG - P.KEMERDEKAAN),54,7577
REGULER,RUTE 10,RUTE 10 (KP.MELAYU - LAP.BANTENG),118,15846
REGULER,RUTE 11,RUTE 11 (BLOK M - CILEDUG),102,18243
REGULER,RUTE 12,RUTE 12 (TERMINAL KALIDERES - GAJAH MADA),130,22096
REGULER,RUTE 13,RUTE 13 (PULOGADUNG - PD.BAMBU - KALI MALANG - CAWANG - PGC),96,14553
REGULER,RUTE 14,RUTE 14 (BLOK M - PD.LABU),81,11165
REGULER,RUTE 15,RUTE 15 (TEBET - CIPINANG MUARA - PD.KOPI),50,6546
REGULER,RUTE 16,RUTE 16 (RUSUN MUARA BARU PLUIT - GROGOL),67,16625
REGULER,RUTE 17,RUTE 17 (RUSUN MUARA BARU PLUIT - BANDENGAN MUARA ANGKE (KALI ADEM)),52,11216
REGULER,RUTE 18,RUTE 18 (MERUYA - CILEDUG),90,15430
REGULER,RUTE 19,RUTE 19 (BENDUNGAN HILIR - KEMANGGISAN),91,18181
REGULER,RUTE 20,RUTE 20 (KEMANGGISAN - DAAN MOGOT),75,11060
REGULER,RUTE RENOP KHUSUS,RUTE RENOP KHUSUS,270,15909
ZONASI,ZONASI 1,ZONASI 1 (PD.GEDE - CONDET - RANCO),134,14993
ZONASI,ZONASI 2,ZONASI 2 (KP.MELAYU - RAWAMANGUN),117,10707
ZONASI,ZONASI 3,ZONASI 3 (TERMINAL KALIDERES - KAMAL),106,21067
ZONASI,ZONASI 4,ZONASI 4 (KALIDERES - SEMANAN - DURI KOSAMBI),117,23136
ZONASI,ZONASI 5,ZONASI 5 (PULOGADUNG - MARDANI - PASEBAN),102,10676
ZONASI,ZONASI 6,ZONASI 6 (CAWANG - RAGUNAN),83,7275
ZONASI,ZONASI 7,ZONASI 7 (RAWAMANGUN - MANGGARAI - CIKINI),99,9423
ZONASI,ZONASI 8,ZONASI 8 (LUBANG BUAYA - DUKU.5 (JASA MARGA) - KP.RAMBUTAN - RANCO),60,4174
ZONASI,ZONASI 9,ZONASI 9 (ROROTAN - MARUNDA),54,9289
ZONASI,ZONASI 10,ZONASI 10 (RUSUNAWA - CILINCING),72,10753
ZONASI,ZONASI 11,ZONASI 11 (RUSUN KAPUK MUARA - JEMBATAN LIMA - CIDENG),37,3841
ZONASI,ZONASI 12,ZONASI 12 (RUSUN RAWABEBEK - CAKUNG TIMUR - ROROTAN),38,4608
ZONASI,ZONASI RENOP KHUSUS,ZONASI RENOP KHUSUS,93,2972
