type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang
REGULER,RUTE 1,RUTE 1 (LAP.BANTENG - GALUR - P.KEMERDEKAAN),66,"14,946"
REGULER,RUTE 2,RUTE 2 (PLUMPANG - SUNTER - KEMAYORAN),45,"10,754"
REGULER,RUTE 3,RUTE 3 (GANDARIA - H E K - TMII),70,"11,332"
REGULER,RUTE 4A,RUTE 4A (P.KEMERDEKAAN - PULOGADUNG - BOR - PD.KOPI),46,"11,058"
REGULER,RUTE 4B,RUTE 4B (P.KEMERDEKAAN - PULOGADUNG - PULOGEBANG - PD.KOPI),58,"12,141"
REGULER,RUTE 5,RUTE 5 (KP.MELAYU - TMII - CEGER),98,"21,326"
REGULER,RUTE 6,RUTE 6 (PS.MINGGU - BUNCIT - KEBAYORAN PTIK),72,"14,754"
REGULER,RUTE 7,RUTE 7 (PS.MINGGU - RANCO - LT.AGUNG - UI),104,"26,524"
REGULER,RUTE 8,RUTE 8 (PS.MINGGU - PANCORAN - MANGGARAI),59,"10,082"
REGULER,RUTE 9,RUTE 9 (CILINCING - PLUMPANG - P.KEMERDEKAAN),33,"5,935"
REGULER,RUTE 10,RUTE 10 (KP.MELAYU - LAP.BANTENG),55,"12,290"
REGULER,RUTE 11,RUTE 11 (BLOK M - CILEDUG),88,"18,303"
REGULER,RUTE 12,RUTE 12 (TERMINAL KALIDERES - GAJAH MADA),89,"20,601"
REGULER,RUTE 13,RUTE 13 (PULOGADUNG - PD.BAMBU - KALI MALANG - CAWANG - PGC),61,"18,808"
REGULER,RUTE 14,RUTE 14 (BLOK M - PD.LABU),59,"11,498"
REGULER,RUTE 15,RUTE 15 (TEBET - CIPINANG MUARA - PD.KOPI),34,"6,454"
REGULER,RUTE 16,RUTE 16 (RUSUN MUARA BARU PLUIT - GROGOL),52,"11,684"
REGULER,RUTE 17,RUTE 17 (RUSUN MUARA BARU PLUIT - BANDENGAN MUARA ANGKE (KALI ADEM)),47,"11,090"
REGULER,RUTE 18,RUTE 18 (MERUYA - CILEDUG),62,"11,451"
REGULER,RUTE 19,RUTE 19 (BENDUNGAN HILIR - KEMANGGISAN),62,"16,498"
REGULER,RUTE 20,RUTE 20 (KEMANGGISAN - DAAN MOGOT),50,"10,059"
REGULER,RUTE RENOP KHUSUS,RUTE RENOP KHUSUS,265,"40,820"
ZONASI,ZONASI 1,ZONASI 1 (PD.GEDE - CONDET - RANCO),82,"8,919"
ZONASI,ZONASI 2,ZONASI 2 (KP.MELAYU - RAWAMANGUN),86,"12,877"
ZONASI,ZONASI 3,ZONASI 3 (TERMINAL KALIDERES - KAMAL),81,"12,936"
ZONASI,ZONASI 4,ZONASI 4 (KALIDERES - SEMANAN - DURI KOSAMBI),93,"15,511"
ZONASI,ZONASI 5,ZONASI 5 (PULOGADUNG - MARDANI - PASEBAN),69,"9,531"
ZONASI,ZONASI 6,ZONASI 6 (CAWANG - RAGUNAN),55,"7,110"
ZONASI,ZONASI 7,ZONASI 7 (RAWAMANGUN - MANGGARAI - CIKINI),57,"7,442"
ZONASI,ZONASI 8,ZONASI 8 (LUBANG BUAYA - DUKU.5 (JASA MARGA) - KP.RAMBUTAN - RANCO),36,"4,148"
ZONASI,ZONASI 9,ZONASI 9 (ROROTAN - MARUNDA),39,"6,433"
ZONASI,ZONASI 10,ZONASI 10 (RUSUNAWA - CILINCING),35,"6,810"
ZONASI,ZONASI 11,ZONASI 11 (RUSUN KAPUK MUARA - JEMBATAN LIMA - CIDENG),27,"3,509"
ZONASI,ZONASI 12,ZONASI 12 (RUSUN RAWABEBEK - CAKUNG TIMUR - ROROTAN),28,"4,533"
ZONASI,ZONASI UJI COBA (CIPEDAK – SRENGSENG SAWAH),ZONASI UJI COBA (CIPEDAK – SRENGSENG SAWAH),53,"6,799"
ZONASI,ZONASI RENOP KHUSUS,ZONASI RENOP KHUSUS,68,"7,758"
