type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang
REGULER,RUTE 1,RUTE 1 (LAP.BANTENG - GALUR - P.KEMERDEKAAN),104,24564
REGULER,RUTE 2,RUTE 2 (PLUMPANG - SUNTER - KEMAYORAN),85,21715
REGULER,RUTE 3,RUTE 3 (GANDARIA - H E K - TMII),106,30619
REGULER,RUTE 4A,RUTE 4A (P.KEMERDEKAAN - PULOGADUNG - BOR - PD.KOPI),109,25416
REGULER,RUTE 4B,RUTE 4B (P.KEMERDEKAAN - PULOGADUNG - PULOGEBANG - PD.KOPI),55,16032
REGULER,RUTE 5,RUTE 5 (KP.MELAYU - TMII - CEGER),141,37857
REGULER,RUTE 6,RUTE 6 (PS.MINGGU - BUNCIT - KEBAYORAN PTIK),71,13948
REGULER,RUTE 7,RUTE 7 (PS.MINGGU - RANCO - LT.AGUNG - UI),150,45858
REGULER,RUTE 8,RUTE 8 (PS.MINGGU - PANCORAN - MANGGARAI),126,23469
REGULER,RUTE 9,RUTE 9 (CILINCING - PLUMPANG - P.KEMERDEKAAN),53,12193
REGULER,RUTE 10,RUTE 10 (KP.MELAYU - LAP.BANTENG),101,20788
REGULER,RUTE 11,RUTE 11 (BLOK M - CILEDUG),111,23312
REGULER,RUTE 12,RUTE 12 (TERMINAL KALIDERES - GAJAH MADA),144,36582
REGULER,RUTE 13,RUTE 13 (PULOGADUNG - PD.BAMBU - KALI MALANG - CAWANG - PGC),86,21031
REGULER,RUTE 14,RUTE 14 (BLOK M - PD.LABU),93,20278
REGULER,RUTE 15,RUTE 15 (TEBET - CIPINANG MUARA - PD.KOPI),54,12546
REGULER,RUTE 16,RUTE 16 (RUSUN MUARA BARU PLUIT - GROGOL),72,22729
REGULER,RUTE 17,RUTE 17 (RUSUN MUARA BARU PLUIT - BANDENGAN MUARA ANGKE (KALI ADEM)),55,16751
REGULER,RUTE 18,RUTE 18 (MERUYA - CILEDUG),74,20776
REGULER,RUTE 19,RUTE 19 (BENDUNGAN HILIR - KEMANGGISAN),76,20504
REGULER,RUTE 20,RUTE 20 (KEMANGGISAN - DAAN MOGOT),66,14750
REGULER,RUTE RENOP KHUSUS,RUTE RENOP KHUSUS,198,6214
ZONASI,ZONASI 1,ZONASI 1 (PD.GEDE - CONDET - RANCO),147,23989
ZONASI,ZONASI 2,ZONASI 2 (KP.MELAYU - RAWAMANGUN),113,22129
ZONASI,ZONASI 3,ZONASI 3 (TERMINAL KALIDERES - KAMAL),101,19337
ZONASI,ZONASI 4,ZONASI 4 (KALIDERES - SEMANAN - DURI KOSAMBI),128,26212
ZONASI,ZONASI 5,ZONASI 5 (PULOGADUNG - MARDANI - PASEBAN),107,17187
ZONASI,ZONASI 6,ZONASI 6 (CAWANG - RAGUNAN),72,10342
ZONASI,ZONASI 7,ZONASI 7 (RAWAMANGUN - MANGGARAI - CIKINI),102,15769
ZONASI,ZONASI 8,ZONASI 8 (LUBANG BUAYA - DUKU.5 (JASA MARGA) - KP.RAMBUTAN - RANCO),80,9071
ZONASI,ZONASI 9,ZONASI 9 (ROROTAN - MARUNDA),49,7851
ZONASI,ZONASI 10,ZONASI 10 (RUSUNAWA - CILINCING),68,11720
ZONASI,ZONASI 11,ZONASI 11 (RUSUN KAPUK MUARA - JEMBATAN LIMA - CIDENG),36,5241
ZONASI,ZONASI 12,ZONASI 12 (RUSUN RAWABEBEK - CAKUNG TIMUR - ROROTAN),37,4757
ZONASI,ZONASI RENOP KHUSUS,ZONASI RENOP KHUSUS,53,1068
