type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang
REGULER,RUTE 1,RUTE 1 (LAP.BANTENG - GALUR - P.KEMERDEKAAN),110,25261
REGULER,RUTE 2,RUTE 2 (PLUMPANG - SUNTER - KEMAYORAN),88,19570
REGULER,RUTE 3,RUTE 3 (GANDARIA - H E K - TMII),119,29057
REGULER,RUTE 4A,RUTE 4A (P.KEMERDEKAAN - PULOGADUNG - BOR - PD.KOPI),111,24591
REGULER,RUTE 4B,RUTE 4B (P.KEMERDEKAAN - PULOGADUNG - PULOGEBANG - PD.KOPI),62,14041
REGULER,RUTE 5,RUTE 5 (KP.MELAYU - TMII - CEGER),144,39171
REGULER,RUTE 6,RUTE 6 (PS.MINGGU - BUNCIT - KEBAYORAN PTIK),66,14254
REGULER,RUTE 7,RUTE 7 (PS.MINGGU - RANCO - LT.AGUNG - UI),195,48833
REGULER,RUTE 8,RUTE 8 (PS.MINGGU - PANCORAN - MANGGARAI),128,22163
REGULER,RUTE 9,RUTE 9 (CILINCING - PLUMPANG - P.KEMERDEKAAN),54,9496
REGULER,RUTE 10,RUTE 10 (KP.MELAYU - LAP.BANTENG),102,19275
REGULER,RUTE 11,RUTE 11 (BLOK M - CILEDUG),100,18588
REGULER,RUTE 12,RUTE 12 (TERMINAL KALIDERES - GAJAH MADA),154,36449
REGULER,RUTE 13,RUTE 13 (PULOGADUNG - PD.BAMBU - KALI MALANG - CAWANG - PGC),93,20798
REGULER,RUTE 14,RUTE 14 (BLOK M - PD.LABU),90,18778
REGULER,RUTE 15,RUTE 15 (TEBET - CIPINANG MUARA - PD.KOPI),56,12023
REGULER,RUTE 16,RUTE 16 (RUSUN MUARA BARU PLUIT - GROGOL),71,19256
REGULER,RUTE 17,RUTE 17 (RUSUN MUARA BARU PLUIT - BANDENGAN MUARA ANGKE (KALI ADEM)),56,15124
REGULER,RUTE 18,RUTE 18 (MERUYA - CILEDUG),73,14311
REGULER,RUTE 19,RUTE 19 (BENDUNGAN HILIR - KEMANGGISAN),75,17204
REGULER,RUTE 20,RUTE 20 (KEMANGGISAN - DAAN MOGOT),72,11967
REGULER,RUTE RENOP KHUSUS,RUTE RENOP KHUSUS,179,5453
ZONASI,ZONASI 1,ZONASI 1 (PD.GEDE - CONDET - RANCO),147,25795
ZONASI,ZONASI 2,ZONASI 2 (KP.MELAYU - RAWAMANGUN),97,18178
ZONASI,ZONASI 3,ZONASI 3 (TERMINAL KALIDERES - KAMAL),103,18357
ZONASI,ZONASI 4,ZONASI 4 (KALIDERES - SEMANAN - DURI KOSAMBI),126,25229
ZONASI,ZONASI 5,ZONASI 5 (PULOGADUNG - MARDANI - PASEBAN),110,16080
ZONASI,ZONASI 6,ZONASI 6 (CAWANG - RAGUNAN),74,10003
ZONASI,ZONASI 7,ZONASI 7 (RAWAMANGUN - MANGGARAI - CIKINI),109,15832
ZONASI,ZONASI 8,ZONASI 8 (LUBANG BUAYA - DUKU.5 (JASA MARGA) - KP.RAMBUTAN - RANCO),83,9072
ZONASI,ZONASI 9,ZONASI 9 (ROROTAN - MARUNDA),56,8113
ZONASI,ZONASI 10,ZONASI 10 (RUSUNAWA - CILINCING),74,10836
ZONASI,ZONASI 11,ZONASI 11 (RUSUN KAPUK MUARA - JEMBATAN LIMA - CIDENG),19,3709
ZONASI,ZONASI 12,ZONASI 12 (RUSUN RAWABEBEK - CAKUNG TIMUR - ROROTAN),38,5052
ZONASI,ZONASI RENOP KHUSUS,ZONASI RENOP KHUSUS,52,1000
