type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang
REGULER,RUTE 1,RUTE 1 (LAP.BANTENG - GALUR - P.KEMERDEKAAN),74,27561
REGULER,RUTE 2,RUTE 2 (PLUMPANG - SUNTER - KEMAYORAN),51,15270
REGULER,RUTE 3,RUTE 3 (GANDARIA - H E K - TMII),66,17993
REGULER,RUTE 4A,RUTE 4A (P.KEMERDEKAAN - PULOGADUNG - BOR - PD.KOPI),55,16986
REGULER,RUTE 4B,RUTE 4B (P.KEMERDEKAAN - PULOGADUNG - PULOGEBANG - PD.KOPI),45,14063
REGULER,RUTE 5,RUTE 5 (KP.MELAYU - TMII - CEGER),91,31194
REGULER,RUTE 6,RUTE 6 (PS.MINGGU - BUNCIT - KEBAYORAN PTIK),66,16867
REGULER,RUTE 7,RUTE 7 (PS.MINGGU - RANCO - LT.AGUNG - UI),103,33387
REGULER,RUTE 8,RUTE 8 (PS.MINGGU - PANCORAN - MANGGARAI),70,17376
REGULER,RUTE 9,RUTE 9 (CILINCING - PLUMPANG - P.KEMERDEKAAN),34,8960
REGULER,RUTE 10,RUTE 10 (KP.MELAYU - LAP.BANTENG),64,18806
REGULER,RUTE 11,RUTE 11 (BLOK M - CILEDUG),67,19271
REGULER,RUTE 12,RUTE 12 (TERMINAL KALIDERES - GAJAH MADA),86,27200
REGULER,RUTE 13,RUTE 13 (PULOGADUNG - PD.BAMBU - KALI MALANG - CAWANG - PGC),55,19078
REGULER,RUTE 14,RUTE 14 (BLOK M - PD.LABU),52,14582
REGULER,RUTE 15,RUTE 15 (TEBET - CIPINANG MUARA - PD.KOPI),34,8332
REGULER,RUTE 16,RUTE 16 (RUSUN MUARA BARU PLUIT - GROGOL),44,17972
REGULER,RUTE 17,RUTE 17 (RUSUN MUARA BARU PLUIT - BANDENGAN MUARA ANGKE (KALI ADEM)),44,15281
REGULER,RUTE 18,RUTE 18 (MERUYA - CILEDUG),52,15400
REGULER,RUTE 19,RUTE 19 (BENDUNGAN HILIR - KEMANGGISAN),51,18249
REGULER,RUTE 20,RUTE 20 (KEMANGGISAN - DAAN MOGOT),33,10005
REGULER,RUTE RENOP KHUSUS,RUTE RENOP KHUSUS,239,23092
ZONASI,ZONASI 1,ZONASI 1 (PD.GEDE - CONDET - RANCO),100,19121
ZONASI,ZONASI 2,ZONASI 2 (KP.MELAYU - RAWAMANGUN),84,13517
ZONASI,ZONASI 3,ZONASI 3 (TERMINAL KALIDERES - KAMAL),77,22503
ZONASI,ZONASI 4,ZONASI 4 (KALIDERES - SEMANAN - DURI KOSAMBI),86,24582
ZONASI,ZONASI 5,ZONASI 5 (PULOGADUNG - MARDANI - PASEBAN),73,12358
ZONASI,ZONASI 6,ZONASI 6 (CAWANG - RAGUNAN),58,10248
ZONASI,ZONASI 7,ZONASI 7 (RAWAMANGUN - MANGGARAI - CIKINI),79,12966
ZONASI,ZONASI 8,ZONASI 8 (LUBANG BUAYA - DUKU.5 (JASA MARGA) - KP.RAMBUTAN - RANCO),36,5691
ZONASI,ZONASI 9,ZONASI 9 (ROROTAN - MARUNDA),37,9062
ZONASI,ZONASI 10,ZONASI 10 (RUSUNAWA - CILINCING),49,11359
ZONASI,ZONASI 11,ZONASI 11 (RUSUN KAPUK MUARA - JEMBATAN LIMA - CIDENG),26,5434
ZONASI,ZONASI 12,ZONASI 12 (RUSUN RAWABEBEK - CAKUNG TIMUR - ROROTAN),26,5956
ZONASI,ZONASI RENOP KHUSUS,ZONASI RENOP KHUSUS,27,933
