type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang
REGULER,RUTE 1,RUTE 1 (LAP.BANTENG - GALUR - P.KEMERDEKAAN),73,11592
REGULER,RUTE 2,RUTE 2 (PLUMPANG - SUNTER - KEMAYORAN),58,8431
REGULER,RUTE 3,RUTE 3 (GANDARIA - H E K - TMII),63,6269
REGULER,RUTE 4A,RUTE 4A (P.KEMERDEKAAN - PULOGADUNG - BOR - PD.KOPI),46,4749
REGULER,RUTE 4B,RUTE 4B (P.KEMERDEKAAN - PULOGADUNG - PULOGEBANG - PD.KOPI),50,4630
REGULER,RUTE 5,RUTE 5 (KP.MELAYU - TMII - CEGER),90,14699
REGULER,RUTE 6,RUTE 6 (PS.MINGGU - BUNCIT - KEBAYORAN PTIK),59,6218
REGULER,RUTE 7,RUTE 7 (PS.MINGGU - RANCO - LT.AGUNG - UI),89,15087
REGULER,RUTE 8,RUTE 8 (PS.MINGGU - PANCORAN - MANGGARAI),65,6354
REGULER,RUTE 9,RUTE 9 (CILINCING - PLUMPANG - P.KEMERDEKAAN),27,2847
REGULER,RUTE 10,RUTE 10 (KP.MELAYU - LAP.BANTENG),63,7585
REGULER,RUTE 11,RUTE 11 (BLOK M - CILEDUG),62,8567
REGULER,RUTE 12,RUTE 12 (TERMINAL KALIDERES - GAJAH MADA),80,9120
REGULER,RUTE 13,RUTE 13 (PULOGADUNG - PD.BAMBU - KALI MALANG - CAWANG - PGC),60,10221
REGULER,RUTE 14,RUTE 14 (BLOK M - PD.LABU),53,4834
REGULER,RUTE 15,RUTE 15 (TEBET - CIPINANG MUARA - PD.KOPI),32,3397
REGULER,RUTE 16,RUTE 16 (RUSUN MUARA BARU PLUIT - GROGOL),43,7387
REGULER,RUTE 17,RUTE 17 (RUSUN MUARA BARU PLUIT - BANDENGAN MUARA ANGKE (KALI ADEM)),36,6007
REGULER,RUTE 18,RUTE 18 (MERUYA - CILEDUG),47,6042
REGULER,RUTE 19,RUTE 19 (BENDUNGAN HILIR - KEMANGGISAN),54,8016
REGULER,RUTE 20,RUTE 20 (KEMANGGISAN - DAAN MOGOT),42,5606
REGULER,RUTE RENOP KHUSUS,RUTE RENOP KHUSUS,154,8510
ZONASI,ZONASI 1,ZONASI 1 (PD.GEDE - CONDET - RANCO),83,8265
ZONASI,ZONASI 2,ZONASI 2 (KP.MELAYU - RAWAMANGUN),78,6908
ZONASI,ZONASI 3,ZONASI 3 (TERMINAL KALIDERES - KAMAL),68,11244
ZONASI,ZONASI 4,ZONASI 4 (KALIDERES - SEMANAN - DURI KOSAMBI),77,11210
ZONASI,ZONASI 5,ZONASI 5 (PULOGADUNG - MARDANI - PASEBAN),63,5364
ZONASI,ZONASI 6,ZONASI 6 (CAWANG - RAGUNAN),56,5184
ZONASI,ZONASI 7,ZONASI 7 (RAWAMANGUN - MANGGARAI - CIKINI),65,5469
ZONASI,ZONASI 8,ZONASI 8 (LUBANG BUAYA - DUKU.5 (JASA MARGA) - KP.RAMBUTAN - RANCO),33,1942
ZONASI,ZONASI 9,ZONASI 9 (ROROTAN - MARUNDA),30,4284
ZONASI,ZONASI 10,ZONASI 10 (RUSUNAWA - CILINCING),47,5436
ZONASI,ZONASI 11,ZONASI 11 (RUSUN KAPUK MUARA - JEMBATAN LIMA - CIDENG),23,2396
ZONASI,ZONASI 12,ZONASI 12 (RUSUN RAWABEBEK - CAKUNG TIMUR - ROROTAN),23,2481
ZONASI,ZONASI RENOP KHUSUS,ZONASI RENOP KHUSUS,59,2156
