type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang
ZONASI,ZONA 1,ZONASI PONDOK GEDE - HALIM- CONDET - RANCHO,124,19.258
ZONASI,ZONA 2,ZONASI KP.MELAYU - RAWAMANGUN,98,14.064
ZONASI,ZONA 3,ZONASI TERMINAL KALIDERES - KAMAL,85,8.545
ZONASI,ZONA 4, ZONASI KALIDERES -SEMANAN-DURIKOSAMBI,122,16.384
ZONASI,ZONA 5,ZONASI PULO GADUNG-MARDANI-PASEBAN,85,12.021
ZONASI,ZONA 6,ZONASI CAWANG - PEJATEN - RAGUNAN,46,7.595
ZONASI,ZONA 7,ZONASI RAWAMANGUN - CIKINI - LP.BANTENG,79,9.728
ZONASI,ZONA 8,ZONASI LUBANG BUAYA - DUKU.5 - KP.RAMBUTAN - RANCO,79,6.901
ZONASI,ZONA 9,ZONASI MARUNDA - ROROTAN,60,7.691
ZONASI,ZONA 10,ZONASI MARUNDA - CILINCING,59,7.387
ZONASI,ZONA 11,ZONASI - RUSUN KAPUK - CIDENG,49,5.709
ZONASI,ZONASI 12,ZONASI CAKUNG TIMUR - ROROTAN,43,4.577
REGULER,RUTE 1,LAP.BANTENG - GALUR -P.KEMERDEKAAN,107,24.511
REGULER,RUTE 2,PLUMPANG - SUNTER - KEMAYORAN,89,18.151
REGULER,RUTE 3,GANDARIA - H E K - TMII,88,20.855
REGULER,RUTE 4,PERINTIS KEMERDEKAAN - PULO GADUNG- PONDOK KOPI,51,12.084
REGULER,RUTE 4A,PULO GADUNG - PONDOK KOPI,89,23.33
REGULER,RUTE 5,KAMPUNG MELAYU - TMII - CEGER,124,31.743
REGULER,RUTE 6,PS.MINGGU - BUNCIT - KEBAYORAN PTIK,72,13.337
REGULER,RUTE 7,PASAR MINGGU - RANCO - LT.AGUNG - UI,114,35.343
REGULER,RUTE 8,PS. MINGGU - PANCORAN - MANGGARAI,88,14.606
REGULER,RUTE 9,CILINCING - PLUMPANG -P.KEMERDEKAAN,54,10.184
REGULER,RUTE 10,KAMPUNG MELAYU - LAPANGAN BANTENG,69,13.835
REGULER,RUTE 11,BLOK.M - CILEDUK,72,14.79
REGULER,RUTE 12,TERMINAL KALIDERES - GAJAH MADA,107,31.517
REGULER,RUTE 13,PULO GADUNG -  PONDOK BAMBU -CAWANG,70,14.71
REGULER,RUTE 14,BLOK. M - PONDOK LABU,65,12.219
REGULER,RUTE 15,TEBET - PONDOK KOPI,50,11.503
REGULER,RUTE 16,RUSUN MUARA BARU - GROGOL,52,11.96
REGULER,RUTE 17,MUARA BARU- MUARA ANGKE,54,13.757
