type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang
ZONASI,ZONA 1,ZONASI PONDOK GEDE - HALIM- CONDET - RANCHO,93,9.08
ZONASI,ZONA 2,ZONASI KP.MELAYU - RAWAMANGUN,79,7.351
ZONASI,ZONA 3,ZONASI TERMINAL KALIDERES - KAMAL,54,3.803
ZONASI,ZONA 4, ZONASI KALIDERES -SEMANAN-DURIKOSAMBI,93,9.013
ZONASI,ZONA 5,ZONASI PULO GADUNG-MARDANI-PASEBAN,62,4.892
ZONASI,ZONA 6,ZONASI CAWANG - PEJATEN - RAGUNAN,47,2.437
ZONASI,ZONA 7,ZONASI RAWAMANGUN - CIKINI - LP.BANTENG,62,4.873
ZONASI,ZONA 8,ZONASI LUBANG BUAYA - DUKU.5 - KP.RAMBUTAN - RANCO,41,2.738
ZONASI,ZONA 9,ZONASI MARUNDA - ROROTAN,47,3.643
ZONASI,ZONA 10,ZONASI MARUNDA - CILINCING,46,3.732
ZONASI,ZONA 11,ZONASI - RUSUN KAPUK - CIDENG,45,2.239
ZONASI,ZONASI 12,ZONASI CAKUNG TIMUR - ROROTAN,40,3.116
REGULER,RUTE 1,LAP.BANTENG - GALUR -P.KEMERDEKAAN,89,13.28
REGULER,RUTE 2,PLUMPANG - SUNTER - KEMAYORAN,78,8.172
REGULER,RUTE 3,GANDARIA - H E K - TMII,80,10.831
REGULER,RUTE 4,PERINTIS KEMERDEKAAN - PULO GADUNG- PONDOK KOPI,47,4.74
REGULER,RUTE 4A,PULO GADUNG - PONDOK KOPI,79,8.533
REGULER,RUTE 5,KAMPUNG MELAYU - TMII - CEGER,106,13.794
REGULER,RUTE 6,PS.MINGGU - BUNCIT - KEBAYORAN PTIK,63,6.204
REGULER,RUTE 7,PASAR MINGGU - RANCO - LT.AGUNG - UI,106,17.938
REGULER,RUTE 8,PS. MINGGU - PANCORAN - MANGGARAI,76,7.027
REGULER,RUTE 9,CILINCING - PLUMPANG -P.KEMERDEKAAN,47,6.639
REGULER,RUTE 10,KAMPUNG MELAYU - LAPANGAN BANTENG,59,7.045
REGULER,RUTE 11,BLOK.M - CILEDUK,63,7.183
REGULER,RUTE 12,TERMINAL KALIDERES - GAJAH MADA,90,13.674
REGULER,RUTE 13,PULO GADUNG -  PONDOK BAMBU -CAWANG,56,4.065
REGULER,RUTE 14,BLOK. M - PONDOK LABU,55,5.903
REGULER,RUTE 15,TEBET - PONDOK KOPI,43,5.942
REGULER,RUTE 16,RUSUN MUARA BARU - GROGOL,45,6.349
REGULER,RUTE 17,MUARA BARU- MUARA ANGKE,48,6.367
