type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang
ZONASI,ZONA 1,ZONASI PONDOK GEDE - HALIM- CONDET - RANCHO,162,23.077
ZONASI,ZONA 2,ZONASI KP.MELAYU - RAWAMANGUN,117,14.479
ZONASI,ZONA 3,ZONASI TERMINAL KALIDERES - KAMAL,120,14.754
ZONASI,ZONA 4, ZONASI KALIDERES -SEMANAN-DURIKOSAMBI,133,22.799
ZONASI,ZONA 5,ZONASI PULO GADUNG-MARDANI-PASEBAN,120,14.968
ZONASI,ZONA 6,ZONASI CAWANG - PEJATEN - RAGUNAN,83,12.473
ZONASI,ZONA 7,ZONASI RAWAMANGUN - CIKINI - LP.BANTENG,94,12.211
ZONASI,ZONA 8,ZONASI LUBANG BUAYA - DUKU.5 - KP.RAMBUTAN - RANCO,82,11.017
ZONASI,ZONA 9,ZONASI MARUNDA - ROROTAN,61,10.324
ZONASI,ZONA 10,ZONASI MARUNDA - CILINCING,81,11.942
ZONASI,ZONA 11,ZONASI - RUSUN KAPUK - CIDENG,59,4.536
ZONASI,ZONA 12,ZONASI CAKUNG TIMUR - ROROTAN,40,5.764
REGULER,RUTE 1,LAP.BANTENG - GALUR -P.KEMERDEKAAN,113,25.482
REGULER,RUTE 2,PLUMPANG - SUNTER - KEMAYORAN,113,20.935
REGULER,RUTE 3,GANDARIA - H E K - TMII,103,23.768
REGULER,RUTE 4 A,PERINTIS KEMERDEKAAN - PULO GADUNG- PONDOK KOPI,183,38.433
REGULER,RUTE 4 B,PULO GADUNG - PONDOK KOPI,0,0
REGULER,RUTE 5,KAMPUNG MELAYU - TMII - CEGER,124,35.22
REGULER,RUTE 6,PS.MINGGU - BUNCIT - KEBAYORAN PTIK,114,17.491
REGULER,RUTE 7,PASAR MINGGU - RANCO - LT.AGUNG - UI,150,45.769
REGULER,RUTE 8,PS. MINGGU - PANCORAN - MANGGARAI,126,19.602
REGULER,RUTE 9,CILINCING - PLUMPANG -P.KEMERDEKAAN,73,10.06
REGULER,RUTE 10,KAMPUNG MELAYU - LAPANGAN BANTENG,78,16.909
REGULER,RUTE 11,BLOK.M - CILEDUK,111,20.762
REGULER,RUTE 12,TERMINAL KALIDERES - GAJAH MADA,144,36.207
REGULER,RUTE 13,PULO GADUNG -  PONDOK BAMBU -CAWANG,115,15.587
REGULER,RUTE 14,BLOK. M - PONDOK LABU,83,17.08
REGULER,RUTE 15,TEBET - PONDOK KOPI,68,11.577
REGULER,RUTE 16,RUSUN MUARA BARU - GROGOL,65,15.99
REGULER,RUTE 17,MUARA BARU- MUARA ANGKE,63,16.039
REGULER,RUTE 18,UJI COBA (CILEDUG-MERURUYA),48,5.523
REGULER,RUTE 19,UJI COBA (BENDUNGAN HILLIR - KEMANGGISAN),42,9.598
REGULER,RUTE 20,UJI COBA ( KEMANGGISAN - DAAN MOGOT),39,23.297
