type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang
REGULER,RUTE 1,RUTE 1 (LAP.BANTENG - GALUR - P.KEMERDEKAAN),97,37.666
REGULER,RUTE 2,RUTE 2 (PLUMPANG - SUNTER - KEMAYORAN),74,23.84
REGULER,RUTE 3,RUTE 3 (GANDARIA - H E K - TMII),90,26.122
REGULER,RUTE 4A,RUTE 4A (P.KEMERDEKAAN - PULOGADUNG - BOR - PD.KOPI),65,22.832
REGULER,RUTE 4B,RUTE 4B (P.KEMERDEKAAN - PULOGADUNG - PULOGEBANG - PD.KOPI),75,24.922
REGULER,RUTE 5,RUTE 5 (KP.MELAYU - TMII - CEGER),134,45.736
REGULER,RUTE 6,RUTE 6 (PS.MINGGU - BUNCIT - KEBAYORAN PTIK),97,25.253
REGULER,RUTE 7,RUTE 7 (PS.MINGGU - RANCO - LT.AGUNG - UI),152,50.452
REGULER,RUTE 8,RUTE 8 (PS.MINGGU - PANCORAN - MANGGARAI),104,27.09
REGULER,RUTE 9,RUTE 9 (CILINCING - PLUMPANG - P.KEMERDEKAAN),49,16.197
REGULER,RUTE 10,RUTE 10 (KP.MELAYU - LAP.BANTENG),81,26.363
REGULER,RUTE 11,RUTE 11 (BLOK M - CILEDUG),100,30.474
REGULER,RUTE 12,RUTE 12 (TERMINAL KALIDERES - GAJAH MADA),112,40.617
REGULER,RUTE 13,RUTE 13 (PULOGADUNG - PD.BAMBU - KALI MALANG - CAWANG - PGC),82,31.397
REGULER,RUTE 14,RUTE 14 (BLOK M - PD.LABU),80,20.799
REGULER,RUTE 15,RUTE 15 (TEBET - CIPINANG MUARA - PD.KOPI),53,14.179
REGULER,RUTE 16,RUTE 16 (RUSUN MUARA BARU PLUIT - GROGOL),64,23.802
REGULER,RUTE 17,RUTE 17 (RUSUN MUARA BARU PLUIT - BANDENGAN MUARA ANGKE (KALI ADEM)),69,24.941
REGULER,RUTE 18,RUTE 18 (MERUYA - CILEDUG),80,26.464
REGULER,RUTE 19,RUTE 19 (BENDUNGAN HILIR - KEMANGGISAN),86,31.212
REGULER,RUTE 20,RUTE 20 (KEMANGGISAN - DAAN MOGOT),63,21.213
REGULER,RUTE RENOP KHUSUS,RUTE RENOP KHUSUS,771,62.45
ZONASI,ZONASI 1,ZONASI 1 (PD.GEDE - CONDET - RANCO),145,26.327
ZONASI,ZONASI 2,ZONASI 2 (KP.MELAYU - RAWAMANGUN),135,26.229
ZONASI,ZONASI 3,ZONASI 3 (TERMINAL KALIDERES - KAMAL),110,31.877
ZONASI,ZONASI 4,ZONASI 4 (KALIDERES - SEMANAN - DURI KOSAMBI),115,29.127
ZONASI,ZONASI 5,ZONASI 5 (PULOGADUNG - MARDANI - PASEBAN),110,21.843
ZONASI,ZONASI 6,ZONASI 6 (CAWANG - RAGUNAN),100,18.791
ZONASI,ZONASI 7,ZONASI 7 (RAWAMANGUN - MANGGARAI - CIKINI),90,17.035
ZONASI,ZONASI 8,ZONASI 8 (LUBANG BUAYA - DUKU.5 (JASA MARGA) - KP.RAMBUTAN - RANCO),59,9.278
ZONASI,ZONASI 9,ZONASI 9 (ROROTAN - MARUNDA),63,16.197
ZONASI,ZONASI 10,ZONASI 10 (RUSUNAWA - CILINCING),65,16.912
ZONASI,ZONASI 11,ZONASI 11 (RUSUN KAPUK MUARA - JEMBATAN LIMA - CIDENG),42,9.094
ZONASI,ZONASI 12,ZONASI 12 (RUSUN RAWABEBEK - CAKUNG TIMUR - ROROTAN),46,10.771
ZONASI,ZONASI UJI COBA,ZONASI UJI COBA (CIPEDAK – SRENGSENG SAWAH),46,5.176
ZONASI,ZONASI RENOP KHUSUS,ZONASI RENOP KHUSUS,203,8.972
