type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang
REGULER,RUTE 1,RUTE 1 (LAP.BANTENG - GALUR - P.KEMERDEKAAN),103,40.086
REGULER,RUTE 2,RUTE 2 (PLUMPANG - SUNTER - KEMAYORAN),79,24.451
REGULER,RUTE 3,RUTE 3 (GANDARIA - H E K - TMII),106,30.035
REGULER,RUTE 4A,RUTE 4A (P.KEMERDEKAAN - PULOGADUNG - BOR - PD.KOPI),68,23.869
REGULER,RUTE 4B,RUTE 4B (P.KEMERDEKAAN - PULOGADUNG - PULOGEBANG - PD.KOPI),80,26.606
REGULER,RUTE 5,RUTE 5 (KP.MELAYU - TMII - CEGER),137,44.728
REGULER,RUTE 6,RUTE 6 (PS.MINGGU - BUNCIT - KEBAYORAN PTIK),95,26.061
REGULER,RUTE 7,RUTE 7 (PS.MINGGU - RANCO - LT.AGUNG - UI),148,50.329
REGULER,RUTE 8,RUTE 8 (PS.MINGGU - PANCORAN - MANGGARAI),99,27.263
REGULER,RUTE 9,RUTE 9 (CILINCING - PLUMPANG - P.KEMERDEKAAN),59,14.568
REGULER,RUTE 10,RUTE 10 (KP.MELAYU - LAP.BANTENG),91,27.322
REGULER,RUTE 11,RUTE 11 (BLOK M - CILEDUG),119,36.287
REGULER,RUTE 12,RUTE 12 (TERMINAL KALIDERES - GAJAH MADA),136,43.947
REGULER,RUTE 13,RUTE 13 (PULOGADUNG - PD.BAMBU - KALI MALANG - CAWANG - PGC),89,31.344
REGULER,RUTE 14,RUTE 14 (BLOK M - PD.LABU),84,23.918
REGULER,RUTE 15,RUTE 15 (TEBET - CIPINANG MUARA - PD.KOPI),51,13.435
REGULER,RUTE 16,RUTE 16 (RUSUN MUARA BARU PLUIT - GROGOL),77,26.328
REGULER,RUTE 17,RUTE 17 (RUSUN MUARA BARU PLUIT - BANDENGAN MUARA ANGKE (KALI ADEM)),78,25.402
REGULER,RUTE 18,RUTE 18 (MERUYA - CILEDUG),98,27.09
REGULER,RUTE 19,RUTE 19 (BENDUNGAN HILIR - KEMANGGISAN),91,31.431
REGULER,RUTE 20,RUTE 20 (KEMANGGISAN - DAAN MOGOT),75,20.925
REGULER,RUTE RENOP KHUSUS,RUTE RENOP KHUSUS,411,36.454
ZONASI,ZONASI 1,ZONASI 1 (PD.GEDE - CONDET - RANCO),151,26.209
ZONASI,ZONASI 2,ZONASI 2 (KP.MELAYU - RAWAMANGUN),121,24.523
ZONASI,ZONASI 3,ZONASI 3 (TERMINAL KALIDERES - KAMAL),120,34.136
ZONASI,ZONASI 4,ZONASI 4 (KALIDERES - SEMANAN - DURI KOSAMBI),113,31.075
ZONASI,ZONASI 5,ZONASI 5 (PULOGADUNG - MARDANI - PASEBAN),108,20.294
ZONASI,ZONASI 6,ZONASI 6 (CAWANG - RAGUNAN),113,19.951
ZONASI,ZONASI 7,ZONASI 7 (RAWAMANGUN - MANGGARAI - CIKINI),108,19.997
ZONASI,ZONASI 8,ZONASI 8 (LUBANG BUAYA - DUKU.5 (JASA MARGA) - KP.RAMBUTAN - RANCO),62,10.624
ZONASI,ZONASI 9,ZONASI 9 (ROROTAN - MARUNDA),58,14.318
ZONASI,ZONASI 10,ZONASI 10 (RUSUNAWA - CILINCING),81,19.678
ZONASI,ZONASI 11,ZONASI 11 (RUSUN KAPUK MUARA - JEMBATAN LIMA - CIDENG),42,9.926
ZONASI,ZONASI 12,ZONASI 12 (RUSUN RAWABEBEK - CAKUNG TIMUR - ROROTAN),41,11.437
ZONASI,ZONASI RENOP KHUSUS,ZONASI RENOP KHUSUS,89,4.381
